;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;RANKING DO SANEAMENTO BÁSICO - 100 MAIORES CIDADES (SNIS 2016);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código do município;Município;UF;Ranking 2018;Ranking 2017;Delta;População Total (IBGE);Operador;Indicador de atendimento total de água (%);Nota atendimento total de água (máx. 0,5);Indicador de atendimento urbano de água (%);Nota atendimento urbano de água (máx. 0,5);Indicador de atendimento total de esgoto (%);Nota atendimento total de esgoto (máx. 1,25);Indicador de atendimento urbano de esgoto (%);Nota atendimento urbano de esgoto (máx. 1,25);Indicador de esgoto tratado por água consumida (%);Nota esgoto tratato por água consumida (máx. 2,5);Investimento 5 anos (Milhões R$);Arrecadação 5 anos (Milhões R$);Indicador de investimento/arrecadação (%);Nota investimento/receita (máx. 1);Novas ligações água;Ligações faltantes para universalização;Indicador novas ligações de água/ligações faltantes (%);Nota novas ligações água/ligações faltantes (máx 0,5);Novas ligações esgoto;Ligações faltantes para universalização;Indicador novas ligações de esgoto/ligações faltantes (%);Nota novas ligações esgoto/ligações faltantes (máx. 1);Indicador perdas no faturamento 2016 (%);Nota perdas no faturamento (máx. 0,5);Indicador perdas no faturamento 2015 (%);Indicador evolução nas perdas de faturamento (%);Nota evolução nas perdas de faturamento (máx. 0,25);Indicador perdas na distribuição 2016 (%);Nota perdas na distribuição (máx. 0,5);Indicador perdas na distribuição 2015 (%);Indicador evolução nas perdas de distribuição (%);Nota evolução nas perdas na distribuição (máx. 0,25);Nota Total (máx. 10);Tarifa média (R$/m³);;;;;;;;;;;;;;;
351620;Franca;SP;1;1;0; 	344.704 ;SABESP;99,97;0,50;100,00;0,50;99,62;1,25;100,00;1,25;98,03;2,50;325,99;594,87;54,80;1,00; 	2.736 ; 	2.777 ;98,52;0,49; 	2.932 ; 	2.932 ; 	100,00 ;1,00;12,73;0,50;13,01;2,12;0,25;25,85;0,29;26,42;2,14;0,16;9,69;2,62;;;;;;;;;;;;;;;
410480;Cascavel;PR;2;8;6; 	316.226 ;SANEPAR;99,99;0,50;100,00;0,50;100,00;1,25;100,00;1,25;94,57;2,50;175,92;530,01;33,19;0,72; 	1.785 ; 	1.795 ;99,45;0,50; 	7.658 ; 	7.658 ; 	100,00 ;1,00;20,66;0,36;21,83;5,35;0,25;33,53;0,22;34,59;3,05;0,23;9,28;3,54;;;;;;;;;;;;;;;
317020;Uberlândia;MG;3;2;-1; 	669.672 ;DMAE;100,00;0,50;100,00;0,50;97,23;1,24;100,00;1,25;76,44;2,39;266,05;879,95;30,23;0,65; 	4.087 ; 	4.087 ;100,00;0,50; 	859 ; 	2.308 ; 	37,21 ;1,00;21,57;0,35;24,41;11,63;0,25;25,20;0,30;25,54;1,33;0,10;9,02;1,69;;;;;;;;;;;;;;;
293330;Vitória da Conquista;BA;4;10;6; 	346.069 ;EMBASA;100,00;0,50;100,00;0,50;83,56;1,07;93,33;1,19;86,36;2,13;131,36;396,16;33,16;0,71; 	2.893 ; 	2.893 ;100,00;0,50; 	5.609 ; 	19.242 ; 	29,15 ;1,00;-10,58;0,50;5,98;277,02;0,25;19,76;0,38;27,62;28,46;0,25;8,98;2,87;;;;;;;;;;;;;;;
411520;Maringá;PR;5;5;0; 	403.063 ;SANEPAR;99,99;0,50;100,00;0,50;99,99;1,25;99,99;1,25;99,08;2,50;167,95;894,70;18,77;0,40; 	2.023 ; 	2.037 ;99,30;0,50; 	3.291 ; 	3.291 ; 	100,00 ;1,00;12,20;0,50;11,67;0,00;0,25;24,75;0,30;23,27;0,00;0,00;8,95;3,64;;;;;;;;;;;;;;;
352690;Limeira;SP;6;6;0; 	298.701 ;BRK;97,02;0,49;100,00;0,50;97,02;1,24;100,00;1,25;100,00;2,48;82,07;597,34;13,74;0,30; 	1.224 ; 	4.388 ;27,89;0,14; 	1.467 ; 	2.499 ; 	58,70 ;1,00;10,89;0,50;11,37;4,23;0,25;15,57;0,48;15,94;2,35;0,17;8,79;3,14;;;;;;;;;;;;;;;
354990;São José dos Campos;SP;7;3;-4; 	695.992 ;SABESP;100,00;0,50;100,00;0,50;97,33;1,24;99,35;1,25;92,20;2,48;380,51;1162,71;32,73;0,71; 	3.642 ; 	3.642 ;100,00;0,50; 	5.468 ; 	6.765 ; 	80,82 ;1,00;26,56;0,28;26,33;0,00;0,00;35,51;0,21;35,96;1,25;0,09;8,77;2,70;;;;;;;;;;;;;;;
355410;Taubaté;SP;8;14;6; 	305.174 ;SABESP;100,00;0,50;100,00;0,50;97,03;1,24;99,17;1,25;91,11;2,48;62,53;589,79;10,60;0,23; 	1.772 ; 	1.772 ;100,00;0,50; 	2.171 ; 	3.158 ; 	68,75 ;1,00;25,52;0,29;27,69;7,81;0,25;35,96;0,21;38,54;6,68;0,25;8,69;2,91;;;;;;;;;;;;;;;
354980;São José do Rio Preto;SP;9;23;14; 	446.649 ;SEMAE;93,93;0,47;100,00;0,50;93,93;1,20;100,00;1,25;87,57;2,40;186,41;753,74;24,73;0,53; 	13.558 ; 	23.410 ;57,91;0,29; 	4.417 ; 	11.021 ; 	40,08 ;1,00;23,92;0,31;32,03;25,35;0,25;32,00;0,23;34,07;6,09;0,25;8,68;1,85;;;;;;;;;;;;;;;
317010;Uberaba;MG;10;13;3; 	325.279 ;CODAU;99,80;0,50;100,00;0,50;98,50;1,25;99,50;1,25;60,79;1,90;136,78;486,67;28,10;0,61; 	5.166 ; 	5.405 ;95,58;0,48; 	3.162 ; 	3.162 ; 	100,00 ;1,00;24,07;0,31;26,98;10,81;0,25;30,33;0,25;33,40;9,17;0,25;8,54;2,25;;;;;;;;;;;;;;;
