Cód Município,Tp Empresa,Nat Jurídica,Pop Total,Perdas Fat,Perdas Dist,Tarifa méd,Ext rede água,Ext rede esgotos,Empregados,Código do município,Município,UF,Empresa,At Água,At Esgoto,Novas Lig Água,Novas Lig Esgoto,Ev Perdas Fat,Ev Perdas Dist,Esg Tratado,Investimento,Eficiencia_DEA
355030,Pública,SEMAPubl,12038175,24.69,36.69,3.66,21262.0,17101.64,4897,355030,São Paulo,SP,SABESP,100.0,97.0,77.37,57.45,0.0,0.0,61.96,9113.98,65.39
330455,Pública,SEMAPubl,6498837,52.41,25.36,4.16,10891.2,4864.51,3105,330455,Rio de Janeiro,RJ,CEDAE / FABZO,99.0,85.16,58.78,17.29,0.84,3.9,44.51,1922.68,66.43
530010,Pública,SEMAPubl,2977216,24.71,35.21,4.74,8534.49,6377.11,2517,530010,Brasília,DF,CAESB,99.1,85.23,68.48,12.41,0.88,0.0,84.42,878.8,58.17
292740,Pública,SEMAPubl,2938092,44.19,53.07,3.66,5358.67,3506.06,1447,292740,Salvador,BA,EMBASA,90.6,78.77,18.01,14.92,25.82,0.0,100.0,544.32,97.3
230440,Pública,SEMAPubl,2609716,26.66,42.64,2.99,4112.66,2442.27,5910,230440,Fortaleza,CE,CAGECE,83.3,49.68,5.61,7.77,14.36,6.78,53.19,806.14,56.74
310620,Pública,SEMAPubl,2513451,36.03,37.36,4.29,6837.51,4393.25,1802,310620,Belo Horizonte,MG,COPASA,95.0,92.49,5.23,26.31,0.0,1.55,72.16,1061.72,67.34
130260,Privada,Privada,2094391,65.76,44.15,5.31,3712.81,524.41,8100,130260,Manaus,AM,MA,88.2,10.23,23.2,0.35,1.75,4.42,23.8,293.71,55.67
410690,Pública,SEMAPriv,1893997,28.9,39.46,3.7,7327.52,6131.34,2693,410690,Curitiba,PR,SANEPAR,100.0,99.99,100.0,100.0,0.0,0.0,92.93,693.76,87.36
261160,Pública,SEMAPubl,1625583,52.7,61.16,4.25,3363.01,1528.68,136,261160,Recife,PE,COMPESA,83.8,41.67,0.0,0.0,0.0,0.0,73.75,1393.21,100.0
431490,Pública,Autarquia,1481019,33.63,24.98,3.67,4119.17,1947.9,1859,431490,Porto Alegre,RS,DMAE,100.0,89.99,100.0,19.84,0.0,0.0,53.54,613.16,77.08
150140,Pública,SEMAPubl,1446042,44.49,46.77,2.53,2027.21,328.0,8400,150140,Belém,PA,COSANPA / SAAEB,71.0,12.73,0.0,0.0,0.0,0.0,2.67,287.26,67.82
351880,Pública,Autarquia,1337087,34.49,18.13,2.51,2330.35,1719.96,1137,351880,Guarulhos,SP,SAAE,99.8,88.25,95.5,28.06,0.0,38.38,2.12,330.25,100.0
350950,Pública,SEMAPubl,1173370,12.46,21.59,4.67,4660.5,4355.77,2243,350950,Campinas,SP,SANASA,99.6,92.46,50.35,37.42,0.0,0.0,67.98,551.41,78.37
211130,Pública,SEMAPubl,1082935,62.7,62.7,3.66,1962.0,875.0,1386,211130,São Luís,MA,CAEMA,87.0,50.55,42.72,3.59,5.28,5.29,11.04,260.06,65.62
330490,Pública,SEMAPubl,1044058,49.02,29.78,4.35,1677.24,720.0,3860,330490,São Gonçalo,RJ,CEDAE,84.1,38.11,1.09,0.13,0.0,0.0,13.08,83.07,65.26
270430,Pública,SEMAPubl,1021709,59.65,59.93,5.83,1444.0,407.53,7680,270430,Maceió,AL,CASAL,96.2,40.35,0.0,12.72,0.0,0.0,92.09,122.99,67.33
